Composition,ZrB2,HfB2,TaB2,SiC,Ta,TaC,Mo,B4C,Si3N4,Ta5Si3,TaSi2,ZrO2,Mosi2,WC,WB,ZrSi2,CrB2,LaB6,La2O3,Gd2O3,HfSi2,C,HfC,BN,TiSi2,Sintering Method,Sintering Temperature ©,Sintering Pressure (Mpa),Sintering Time (min),Mean Grain Size (um),Relative Density (%),Oxidation Test,Temperature (C),Holding Time (min),Atmospheric Condition,Flow Rate (cm3/min),Oxide Thickness (um),Compostion/ Structure,Mass Gain (mg/cm2)
ZrB2 - 20% SiC - 2% Mo - 2% B4C,76,,,20,,,2,2,0,0,0,0,0,0,,,,,,,,,,,,Pressureless sintering,2250,0,120,,97.6,Furnace,,30,air,0,37,"(1)10 - ZrO2, (2)30 - ZrO2 + SiC",1.07
ZrB2 - 20% SiC - 2% Mo - 2% B4C,76,,,20,,,2,2,0,0,0,0,0,0,,,,,,,,,,,,Pressureless sintering,2250,0,120,,97.6,Furnace,,30,air,0,38,(1)ZrO2 (2)ZrO2 + SiC (3) ZrB2-SiC,2
ZrB2 - 20% SiC - 2% Mo - 2% B4C,76,,,20,,,2,2,0,0,0,0,0,0,,,,,,,,,,,,Pressureless sintering,2250,0,120,,97.6,Furnace,,30,air,0,48,(1)ZrO2 (2)ZrO2 + SiC (3) ZrB2-SiC,2.5
ZrB2 - 20% SiC - 2% Mo - 2% B4C,76,,,20,,,2,2,0,0,0,0,0,0,,,,,,,,,,,,Pressureless sintering,2250,0,120,,97.6,Furnace,,30,air,0,48,(1)SiO2 (2)ZrO2+SiC (3) ZrB2-SiC,3.34
ZrB2 - 20% SiC - 2% Mo - 2% B4C,76,,,20,,,2,2,0,0,0,0,0,0,,,,,,,,,,,,Pressureless sintering,2250,0,120,,97.6,Furnace,,30,air,0,75.86,(1)SiO2 (2)ZrO2+SiC (3) ZrB2-SiC,nan
ZrB2 - 20% SiC - 2% Mo - 2% B4C,76,,,20,,,2,2,0,0,0,0,0,0,,,,,,,,,,,,Pressureless sintering,2250,0,120,,97.6,Furnace,,30,air,0,202,(1)SiO2 (2)ZrO2+SiC (3) ZrB2-SiC,nan
ZrB2 - 5% Si3N4 ,95,,,,,,,,5,,0,,,,,,,,,,,,,,,Hot pressed,1850,20,60,,,Furnace,,120,air,0,140,,1.5
ZrB2 - 20% Si3N4,80,,,,,,,,20,,0,,,,,,,,,,,,,,,Hot pressed,1850,20,60,,,Furnace,,120,air,0,60,,0.6
ZrB2 - 35% Si3N4,65,,,,,,,,35,,0,,,,,,,,,,,,,,,Hot pressed,1850,20,60,,,Furnace,800,120,air,0,,,0.45
ZrB2 - 8% Ta5Si3,92,,,,,,,,,8,0,,,,,,,,,,,,,,,Hot pressed,1900,20,30,,,Furnace,800,120,air,0,,,
ZrB2 - 15% Ta5Si3,85,,,,,,,,,15,0,,,,,,,,,,,,,,,Hot pressed,1900,20,30,,,Furnace,800,120,air,0,115,,
ZrB2 - 31% Ta5Si3,69,,,,,,,,,31,0,,,,,,,,,,,,,,,Hot pressed,1900,20,30,,,Furnace,800,120,air,0,,,
ZrB2 - 10% TaSi2 ,90,,,,,,,,,,10,,,,,,,,,,,,,,,Hot pressed,2000,20,20,,,Furnace,800,120,air,0,,,2.1
ZrB2 - 20% TaSi2 ,80,,,,,,,,,,20,,,,,,,,,,,,,,,Hot pressed,2000,20,20,,,Furnace,900,120,air,0,,,1
ZrB2 - 30% TaSi2 ,70,,,,,,,,,,30,,,,,,,,,,,,,,,Hot pressed,2000,20,20,,,Furnace,900,120,air,0,50,,0.5
