ZrB2,HfB2,SiC,Sintering_Method,Sintering_Temperature,Sintering_Pressure,Sintering_Time,Mean_Grain_Size,Relative_Density,Oxidation_Test,Temperature,Time_Temp,Oxide_Thickness
0,85,15,Spark Plasma Sintering,2100,32,9,2.6,99.9,Furnace,2000,30,826
70,0,30,Hot pressed,2000,30,60,7.5,100,Furnace,1900,60,800
80,0,20,Hot pressed,2000,30,60,3.89,98,Furnace,1900,60,600
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99.51,Furnace,1900,60,575.55
90,0,10,Hot pressed,2000,30,60,,,,1800,60,580
70,0,30,Hot pressed,2000,30,60,6,99.8,Furnace,1800,60,380
80,0,20,Hot pressed,2000,30,60,6,98.1,Furnace,1800,60,300
70,0,30,Hot pressed,2000,30,60,6,99.8,Furnace,1800,60,192
90,0,10,Hot pressed,2000,25,60,4.3,99.8,Furnace,1700,300,521
80,0,20,Hot pressed,2000,25,60,4.02,99.7,Furnace,1700,300,323
70,0,30,Hot pressed,2000,25,60,3.88,97.5,Furnace,1700,300,229
80,0,20,Hot pressed,1900,30,15,2.1,98.3,Furnace,1700,60,110
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99,Furnace,1700,60,55
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99.51,Furnace,1700,60,53
0,70,30,Hot pressed,1950,20,120,4.6,97.8,Furnace,1700,30,30
0,70,30,Hot pressed,1950,20,120,4.6,97.8,Furnace,1700,30,27
80,0,20,Hot pressed,,,,6,100,Furnace,1627,100,150
70,0,30,Pressureless Sintering,2000,310,120,6.2,99.4,Furnace,1600,300,160
0,80,20,Spark Plasma Sintering,1900,50,2,,98.3,Furnace,1600,600,140
80,0,20,Spark Plasma Sintering,2000,50,10,11.2,99.3,Furnace,1600,60,100
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99.51,Furnace,1600,60,50
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99,Furnace,1600,60,50
75,0,25,Spark Plasma Sintering,1800,35,5,1.8,99,Furnace,1600,15,36
0,85,15,Spark Plasma Sintering,2100,32,9,2.6,99.9,Furnace,1600,30,35
85,0,15,,,,,,,Furnace,1550,480,260
80,0,20,,,,,,,Furnace,1550,480,225
85,0,15,,,,,,,Furnace,1550,240,190
85,0,15,,,,,,,Furnace,1550,180,160
80,0,20,,,,,,,Furnace,1550,240,125
80,0,20,,,,,,,Furnace,1550,180,105
70,0,30,,,,,,,Furnace,1550,480,100
70,0,30,,,,,,,Furnace,1550,240,70
85,0,15,Hot pressed,1820,30,15,5.5,,Furnace,1550,120,60
70,0,30,,,,,,,Furnace,1550,180,45
0,70,30,Hot pressed,1950,20,120,4.6,97.8,Furnace,1550,30,8
0,90,10,Spark Plasma Sintering,1800,100,10,4.7,100,Furnace,1526.85,20,10
0,80,20,Spark Plasma Sintering,1750,100,10,4.8,100,Furnace,1526.85,20,8.5
0,70,30,Spark Plasma Sintering,1700,100,10,4.5,99,Furnace,1526.85,20,5
90,0,10,Hot pressed,2000,30,60,3.3,,Furnace,1500,600,235
90,0,10,Hot pressed,2000,25,60,4.3,99.8,Furnace,1500,300,166
70,0,30,Hot pressed,1950,32,120,3,99.5,Furnace,1500,600,125
90,0,10,Hot pressed,2000,30,60,3.3,,Furnace,1500,180,117
80,0,20,Spark Plasma Sintering,1850,30,10,9,89,Furnace,1500,180,117
70,0,30,Hot pressed,1950,32,45,2.5,98,Furnace,1500,480,115
