,ZrB2,HfB2,SiC,Mean_Grain_Size,Relative_Density,Temperature,Time_Temp,PepeNet,,Three_predict,,Linear,,Gaussian Process Regressor,,Random Forest Regressor,,average,,real Oxi scale Thick
85,0,80,20,2.5,99.51,1900,60,798.2968,27.90275497,742,22.43261456,291.6841865,97.31957595,697.8126865,17.52084605,677.745,15.07868003,641.5077346,10.2816741,575.55
90,0,80,20,,98.3,1600,600,91.57016,52.88823346,357.6666667,60.85740913,129.230526,8.333537211,115.4341276,21.28129079,270.405,48.22580943,192.8612961,27.40897067,140
20,85,0,15,,,1550,240,212.92986,10.76873859,140.6666667,35.07109005,250.840016,24.2545097,267.471227,28.96432184,169.705,11.95898766,208.3225539,8.795280969,190
31,80,0,20,,,1550,240,178.34193,29.90992079,105,19.04761905,231.9000499,46.09746739,195.4006079,36.02885818,143.4,12.83124128,170.8085176,26.81863774,125
22,85,0,15,5.5,,1550,120,223.05287,73.10054787,140.6666667,57.34597156,269.5514918,77.7408021,243.9628347,75.40609,130.1825,53.91085591,201.4832726,70.22085297,60
95,0,90,10,4.7,100,1526.85,20,3.71834,168.9372139,28.5,64.9122807,123.4677881,91.90072151,175.6120132,94.30562874,96.4575,89.63273981,85.55112825,88.31108344,10
63,70,0,30,3,99.5,1500,600,148.58522,15.87319385,100,25,162.5114062,23.08232208,151.3197343,17.39345792,137.99,9.413725632,140.0812721,10.76608734,125
34,80,0,20,9,89,1500,180,56.938404,105.4852117,105,11.42857143,252.5124714,53.66565487,106.5632093,9.7939906,134.27,12.86214344,131.0568169,10.72574267,117
67,70,0,30,2.2,,1500,180,53.371723,48.47458831,41,32.92682927,150.1259441,81.68204692,42.01720308,34.5506174,77.2,64.37823834,72.74297403,62.19566169,27.5
100,0,80,20,2.6,99.27,1500,33.33333333,35.828915,72.08958184,6.5,53.84615385,64.69899414,84.54380917,17.88301606,44.08102098,25.7225,61.12352998,30.12668504,66.80683591,10
15,90,0,10,3,100,1450,1200,386.69415,46.98652669,158,29.74683544,207.158572,1.041990172,150.2592185,36.43089724,144.19,42.17352105,209.2603881,2.03592669,205
72,70,0,30,4.2,95,1400,180,43.53772,152.6544798,41,168.2926829,115.1007695,4.431568585,22.85631777,381.2673725,69.245,58.85623511,58.34796146,88.52415276,110
37,80,0,20,6,100,1327,100,6.9913597,329.1010803,158,81.01265823,135.7580346,77.90186041,-47.86621681,162.6746837,124.79,75.95961215,75.5346355,60.28312071,30
39,80,0,20,3.8,97.5,1300,480,45.299786,96.4689193,52.5,69.52380952,93.07586782,4.379081186,77.91861067,14.22174912,104.6,14.91395793,74.6788529,19.17697788,89
40,80,0,20,2.6,95,1300,360,50.973667,17.7078353,240,75,78.66696053,23.72909847,67.75345761,11.44363384,101.335,40.79044753,107.745817,44.31338343,60
82,50,0,50,3.9,63.9,1300,33.33333333,9.519852,120.5916647,17.5,20,-54.17078584,138.7662827,19.99725441,5.014416348,23.6375,11.1581174,3.296764112,536.9882492,21
75,70,0,30,4.5,76.2,1300,16.66666667,12.646827,137.2136505,17.5,71.42857143,41.36657062,27.47767206,14.29623294,109.8454895,62.52,52.01535509,29.66592611,1.126119868,30
43,80,0,20,,98.2,1200,720,9.841697,662.0636969,52.5,42.85714286,34.94125521,114.6459809,78.18896219,4.078532446,106.64,29.66991748,56.42238288,32.92597046,75
7,95,0,5,3,97.4,1200,60,17.095234,192.4791787,66,24.24242424,86.84380041,42.42536628,41.60413152,20.18037194,63.845,21.68533166,55.07763319,9.219047538,50
47,80,0,20,1,90,1100,60,100.77884,81.14683598,66,71.21212121,-55.5818905,134.1837959,80.1704241,76.3004871,33.3075,42.95579074,44.93497472,57.71667812,19
49,80,0,20,2,,1000,30,46.288258,78.396249,66,84.84848485,-98.1064472,110.19301,50.18833146,80.0750499,34.3825,70.91543663,19.75052845,49.36844336,10
,,,,,,,,,120.0114335,,53.38253668,,60.37124541,,60.99327648,,40.0242702,,61.14328083,
